show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,
s2128-netflix,TV Show,3%,,"João Miguel, Bianca Comparato, Michel Gomes, Rodolfo Valente, Vaneza Oliveira, Rafael Lozano, Viviane Porto, Mel Fronckowiak, Sergio Mamberti, Zezé Motta, Celso Frateschi",Brazil,14-Aug-20,2020,TV-MA,4 Seasons,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy","In a future where the elite inhabit an island paradise far from the crowded slums, you get one chance to join the 3% saved from squalor.",
s5657-netflix,Movie,7:19,Jorge Michel Grau,"Demián Bichir, Héctor Bonilla, Oscar Serrano, Azalia Ortiz, Octavio Michel, Carmen Beato",Mexico,23-Dec-16,2016,TV-MA,93 min,"Dramas, International Movies","After a devastating earthquake hits Mexico City, trapped survivors from all walks of life wait to be rescued while trying desperately to stay alive.",
s4278-netflix,Movie,23:59,Gilbert Chan,"Tedd Chan, Stella Chung, Henley Hii, Lawrence Koh, Tommy Kuan, Josh Lai, Mark Lee, Susan Leong, Benjamin Lim",Singapore,20-Dec-18,2011,R,78 min,"Horror Movies, International Movies","When an army recruit is found dead, his fellow soldiers are forced to confront a terrifying secret that's haunting their jungle island training camp.",
s5959-netflix,Movie,9,Shane Acker,"Elijah Wood, John C. Reilly, Jennifer Connelly, Christopher Plummer, Crispin Glover, Martin Landau, Fred Tatasciore, Alan Oppenheimer, Tom Kane",United States,16-Nov-17,2009,PG-13,80 min,"Action & Adventure, Independent Movies, Sci-Fi & Fantasy","In a postapocalyptic world, rag-doll robots hide in fear from dangerous machines out to exterminate them, until a brave newcomer joins the group.",
s7055-amazon,Movie,21,Robert Luketic,"Jim Sturgess, Kate Bosworth, Aaron Yoo, Liza Lapira, Jacob Pitts, Josh Gad, Sam Golzari, Laurence Fishburne, Kevin Spacey",,1-Jan-20,2008,PG-13,123 min,"Drama, Suspense","Academy Award Winner Kevin Spacey (The Usual Suspects) and young Hollywood super star Kate Boswoth (Superman Returns) star in this clever & adreniline filled heist film. An MIT math whiz is recruited by a teacher to join a specialized team of card counters. They break away from their mentor before casino security finally catches up with them. Based on book ""Bringing Down the House."" It co-stars..",
s3461-amazon,Movie,41,Glenn Triggs,"Chris Gibson, David Macrae",,,2014,16+,81 min,"Drama, Science Fiction",A young man discovers a hole in the floor of a local motel that leads to yesterday.,
s5389-netflix,TV Show,46,Serdar Akar,"Erdal Beşikçioğlu, Yasemin Allen, Melis Birkan, Saygın Soysal, Berkan Şal, Metin Belgin, Ayça Eren, Selin Uludoğan, Özay Fecht, Suna Yıldızoğlu",Turkey,1-Jul-17,2016,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Mysteries","A genetics professor experiments with a treatment for his comatose sister that blends medical and shamanic cures, but unlocks a shocking side effect.",
s2444-netflix,Movie,122,Yasir Al Yasiri,"Amina Khalil, Ahmed Dawood, Tarek Lotfy, Ahmed El Fishawy, Mahmoud Hijazi, Jihane Khalil, Asmaa Galal, Tara Emad",Egypt,1-Jun-20,2019,TV-MA,95 min,"Horror Movies, International Movies","After an awful accident, a couple admitted to a grisly hospital are separated and must find each other to escape — before death finds them.",
s5961-netflix,Movie,187,Kevin Reynolds,"Samuel L. Jackson, John Heard, Kelly Rowan, Clifton Collins Jr., Tony Plana",United States,1-Nov-19,1997,R,119 min,Dramas,"After one of his high school students attacks him, dedicated teacher Trevor Garfield grows weary of the gang warfare in the New York City school system and moves to California to teach there, thinking it must be a less hostile environment.",
s6469-amazon,TV Show,227,,"Marla Gibbs, Hal Williams, Alaina Reed, Jackée Harry",,,1990,TV-PG,5 Seasons,Comedy,"In a world gone ""condo,"" apartment building 227 is much more than just a street address – it's a haven from the fast-paced life of Washington D.C. for its many tenants. Through the good times and the bad, through rent hikes and garbage strikes, the tenants of 227 are a close-knit, tough, not always harmonious family, and Mary Jenkins is the ""thread"" that keeps them together.",
